strain	name	date	region	country	host	passage_type	sra_accession	abbr_authors	authors	institution
MT797705.1	HK09-30	2009-05-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797704.1	HK06-29	2006-01-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797703.1	HK06-28	2006-01-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797702.1	HK06-27	2006-01-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797701.1	HK06-26	2006-01-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797700.1	HK06-25	2006-01-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797699.1	HK06-24	2006-01-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797698.1	HK06-23	2006-01-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797697.1	HK05-22	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797696.1	HK05-21	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797695.1	HK05-20	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797694.1	HK05-19	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797693.1	HK05-18	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797692.1	HK05-17	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797691.1	HK05-16	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797690.1	HK05-15	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797689.1	HK05-14	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797688.1	HK05-13	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797687.1	HK05-12	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797686.1	HK05-11	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797685.1	HK05-10	2005-11-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797684.1	HK05-09	2005-11-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797683.1	HK05-08	2005-11-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797682.1	HK05-07	2005-11-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797681.1	HK05-06	2005-10-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797680.1	HK05-05	2005-04-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797679.1	HK05-04	2005-03-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797678.1	HK05-03	2005-02-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797677.1	HK04-02	2004-06-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797676.1	HK04-01	2004-04-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797675.1	HK16-41	2016-01-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797674.1	HK16-40	2016-01-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797673.1	HK13-39	2013-05-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797672.1	HK13-38	2013-05-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797671.1	HK13-37	2013-02-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797670.1	HK12-36	2012-01-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797669.1	HK11-35	2011-07-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797668.1	HK11-34	2011-05-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797667.1	HK11-33	2011-05-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797666.1	HK11-32	2011-02-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797665.1	HK09-31	2009-05-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797664.1	HK09-30	2009-05-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797663.1	HK06-29	2006-01-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797662.1	HK06-28	2006-01-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797661.1	HK06-27	2006-01-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797660.1	HK06-26	2006-01-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797659.1	HK06-25	2006-01-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797658.1	HK06-24	2006-01-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797657.1	HK06-23	2006-01-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797656.1	HK05-22	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797655.1	HK05-21	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797654.1	HK05-20	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797653.1	HK05-19	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797652.1	HK05-18	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797651.1	HK05-17	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
MT797650.1	HK05-16	2005-12-XX	Asia	Hong Kong	Homo sapiens			Lau et al	Lau,S.K.P.,Lung,D.C.,Wong,E.Y.M.,Aw-Yong,K.L.,Wong,A.C.P.,Luk,H.K.H.,Li,K.S.M.,Fung,J.,Chan,T.T.Y.,Tang,J.Y.M.,Zhu,L.,Yip,C.C.Y.,Wong,S.C.Y.,Lee,R.A.,Tsang,O.T.Y.,Yuen,K.-Y.,Woo,P.C.Y.	The University of Hong Kong, Microbiology
